BBB,borough_code,block_number,lot_number,tax_year,owner_name,property_address,granted_reduction_amount,tax_class_code,BBB_test
1-843-1001,1,843,1001,2018,73 FIFTH AVENUE CONDO,73 5 AVENUE,419700.0,4,1-843-1001
1-843-1002,1,843,1002,2017,73 FIFTH AVENUE CONDO,73 5 AVENUE,56600.0,4,1-843-1002
1-843-1002,1,843,1002,2018,73 FIFTH AVENUE CONDO,73 5 AVENUE,38650.0,4,1-843-1002
1-843-1003,1,843,1003,2017,73 FIFTH AVENUE CONDO,73 5 AVENUE,28819.0,4,1-843-1003
1-843-1003,1,843,1003,2018,73 FIFTH AVENUE CONDO,73 5 AVENUE,29324.0,4,1-843-1003
1-844-3,1,844,3,2018,DEZER PROPERTIES LLC,87 5 AVENUE,1935700.0,4,1-844-3
1-844-25,1,844,25,2018,LEWIS FOODS OF UNION,39 UNION SQUARE,206300.0,4,1-844-25
1-844-33,1,844,33,2018,EAST 17TH ST. LOFT CO,16 EAST 17 STREET,54163.0,2C,1-844-33
1-844-34,1,844,34,2018,EAST 17TH ST. LOFT CO,14 EAST 17 STREET,35781.0,2C,1-844-34
1-844-1001,1,844,1001,2018,S.L. GREEN PROPERTIES,5 EAST 16 STREET,286350.0,4,1-844-1001
1-846-2,1,846,2,2018,"BSD MICHAEL 101, LLC",101 5 AVENUE,3376350.0,4,1-846-2
1-846-33,1,846,33,2018,200 PARK AVE. SOUTH A,200 PARK AVENUE SOUTH,2805650.0,4,1-846-33
1-846-57,1,846,57,2018,JAISI REALTY CORP.,865 BROADWAY,337900.0,4,1-846-57
1-846-1402,1,846,1402,2018,868 BROADWAY CORP.,868 BROADWAY,299700.0,4,1-846-1402
1-847-24,1,847,24,2018,MACINTYRE BUILDING CO,874 BROADWAY,1692700.0,2,1-847-24
1-847-33,1,847,33,2018,43 EAST 18 LLC,43 EAST 18 STREET,121950.0,4,1-847-33
1-847-40,1,847,40,2018,230 PAS (RRP III) LLC,230 PARK AVENUE SOUTH,3503550.0,4,1-847-40
1-847-1001,1,847,1001,2017,"ABC CARPET CO., INC.",880 BROADWAY,378800.0,4,1-847-1001
1-847-1001,1,847,1001,2018,"ABC CARPET CO., INC.",880 BROADWAY,874250.0,4,1-847-1001
1-848-3,1,848,3,2018,123 5TH AVENUE LLC,123 5 AVENUE,246600.0,4,1-848-3
1-848-23,1,848,23,2018,HARVEY AXELROD D/B/A,29 EAST 19 STREET,321550.0,4,1-848-23
1-848-43,1,848,43,2018,250 PARK LLC,242 PARK AVENUE SOUTH,3080700.0,4,1-848-43
1-848-68,1,848,68,2018,KARASS BROADWAY 901 L,901 BROADWAY,243700.0,4,1-848-68
1-848-1303,1,848,1303,2018,THE BOARD OF MANAGERS,240 PARK AVENUE SOUTH,13230.0,2,1-848-1303
1-849-52,1,849,52,2018,38 EAST 21ST STREET G,38 EAST 21 STREET,472819.0,2B,1-849-52
1-849-1101,1,849,1101,2018,40/21 HOLDING LLC,40 EAST 21 STREET,160050.0,4,1-849-1101
1-849-1201,1,849,1201,2017,260 PARK AVENUE SOUTH,260 PARK AVENUE SOUTH,8995.0,2,1-849-1201
1-849-1201,1,849,1201,2018,260 PARK AVENUE SOUTH,260 PARK AVENUE SOUTH,18597.0,2,1-849-1201
1-849-1311,1,849,1311,2017,260 PARK AVENUE SOUTH,260 PARK AVENUE SOUTH,1002260.0,4,1-849-1311
1-849-1311,1,849,1311,2018,260 PARK AVENUE SOUTH,260 PARK AVENUE SOUTH,1055160.0,4,1-849-1311
1-849-1314,1,849,1314,2017,260 PARK AVENUE SOUTH,260 PARK AVENUE SOUTH,172268.0,4,1-849-1314
1-849-1314,1,849,1314,2018,260 PARK AVENUE SOUTH,260 PARK AVENUE SOUTH,188969.0,4,1-849-1314
1-849-1403,1,849,1403,2018,141 FIFTH AVENUE COND,141 5 AVENUE,9146.0,2,1-849-1403
1-849-1602,1,849,1602,2017,254 PARK AVENUE SOUTH,254 PARK AVENUE SOUTH,4874.0,2,1-849-1602
1-849-1602,1,849,1602,2018,254 PARK AVENUE SOUTH,254 PARK AVENUE SOUTH,11220.0,2,1-849-1602
